Date;Country;CPI
1.9.17;Chile;-0.15
1.10.17;Chile;0.59
1.11.17;Chile;0.09
1.12.17;Chile;0.14
1.1.18;Chile;0.46
1.2.18;Chile;0.05
1.3.18;Chile;0.20
1.4.18;Chile;0.31
1.5.18;Chile;0.28
1.6.18;Chile;0.10
1.7.18;Chile;0.35
1.8.18;Chile;0.18
1.9.18;Chile;0.34
1.10.18;Chile;0.36
1.11.18;Chile;0.00
1.12.18;Chile;-0.10
1.1.19;Chile;0.11
1.2.19;Chile;0.04
1.3.19;Chile;0.48
1.4.19;Chile;0.27
1.5.19;Chile;0.60
1.6.19;Chile;0.05
1.7.19;Chile;0.23
1.8.19;Chile;0.19
1.9.19;Chile;0.01
1.10.19;Chile;0.82
1.11.19;Chile;0.08
1.12.19;Chile;0.11
1.1.20;Chile;0.56
1.2.20;Chile;0.45
1.3.20;Chile;0.33
1.4.20;Chile;-0.05
1.5.20;Chile;-0.05
1.6.20;Chile;-0.07
1.7.20;Chile;0.10
1.8.20;Chile;0.13
1.9.20;Chile;0.64
1.10.20;Chile;0.68
1.11.20;Chile;-0.13
1.12.20;Chile;0.34
1.1.21;Chile;0.70
1.2.21;Chile;0.19
1.3.21;Chile;0.37
1.4.21;Chile;0.38
1.5.21;Chile;0.27
1.6.21;Chile;0.08
1.7.21;Chile;0.81
1.8.21;Chile;0.36
1.9.21;Chile;1.18
1.10.21;Chile;1.34
1.11.21;Chile;0.50
1.12.21;Chile;0.78
1.1.22;Chile;1.21
1.2.22;Chile;0.29
1.3.22;Chile;1.86
1.4.22;Chile;1.40
1.5.22;Chile;1.20
1.6.22;Chile;0.93
1.7.22;Chile;1.37
1.8.22;Chile;1.22
1.9.22;Chile;0.86
1.10.22;Chile;0.52
1.11.22;Chile;0.97
1.12.22;Chile;0.29
1.1.23;Chile;0.80
1.2.23;Chile;-0.06
1.3.23;Chile;1.08
1.4.23;Chile;0.31
1.5.23;Chile;0.11
1.6.23;Chile;-0.15
1.7.23;Chile;0.35
1.8.23;Chile;0.11
1.9.23;Chile;0.67
